SiteCode,Species,Length_mm,Wt_g,logW,logL,Date,HUC12Watershed
Baker.LeftAsaph,Blacknose Dace,46,0.84,-0.075720714,1.662757832,7/16/2024,020502050302 Asaph Run
Baker.LeftAsaph,Sculpin spp.,65,3.28,0.515873844,1.812913357,7/16/2024,020502050302 Asaph Run
Baker.LeftAsaph,Blacknose Dace,48,0.87,-0.060480747,1.681241237,7/16/2024,020502050302 Asaph Run
Baker.LeftAsaph,Blacknose Dace,70,3.4,0.531478917,1.84509804,7/16/2024,020502050302 Asaph Run
Baker.LeftAsaph,Blacknose Dace,43,0.52,-0.283996656,1.633468456,7/16/2024,020502050302 Asaph Run
Baker.LeftAsaph,Sculpin spp.,57,1.84,0.264817823,1.755874856,7/16/2024,020502050302 Asaph Run
Baker.LeftAsaph,Blacknose Dace,46,0.75,-0.124938737,1.662757832,7/16/2024,020502050302 Asaph Run
Baker.LeftAsaph,Blacknose Dace,68,2.68,0.428134794,1.832508913,7/16/2024,020502050302 Asaph Run
Baker.LeftAsaph,Sculpin spp.,89,7.08,0.850033258,1.949390007,7/16/2024,020502050302 Asaph Run
Baker.LeftAsaph,Sculpin spp.,80,5.82,0.764922985,1.903089987,7/16/2024,020502050302 Asaph Run
Baker.LeftAsaph,Sculpin spp.,66,3.17,0.501059262,1.819543936,7/16/2024,020502050302 Asaph Run
Baker.LeftAsaph,Sculpin spp.,80,5.36,0.72916479,1.903089987,7/16/2024,020502050302 Asaph Run
Baker.LeftAsaph,Sculpin spp.,63,2.58,0.411619706,1.799340549,7/16/2024,020502050302 Asaph Run
Baker.LeftAsaph,Blacknose Dace,64,2.13,0.328379603,1.806179974,7/16/2024,020502050302 Asaph Run
Baker.LeftAsaph,Sculpin spp.,100,9.7,0.986771734,2,7/16/2024,020502050302 Asaph Run
Baker.LeftAsaph,Sculpin spp.,82,5.59,0.747411808,1.913813852,7/16/2024,020502050302 Asaph Run
Baker.LeftAsaph,Longnose Dace,83,4.4,0.643452676,1.919078092,7/16/2024,020502050302 Asaph Run
Baker.LeftAsaph,Sculpin spp.,54,1.63,0.212187604,1.73239376,7/16/2024,020502050302 Asaph Run
Baker.LeftAsaph,Blacknose Dace,60,1.86,0.269512944,1.77815125,7/16/2024,020502050302 Asaph Run
Baker.LeftAsaph,Sculpin spp.,64,2.62,0.418301291,1.806179974,7/16/2024,020502050302 Asaph Run
Baker.LeftAsaph,Sculpin spp.,84,5.98,0.776701184,1.924279286,7/16/2024,020502050302 Asaph Run
Baker.LeftAsaph,Blacknose Dace,40,0.52,-0.283996656,1.602059991,7/16/2024,020502050302 Asaph Run
Baker.LeftAsaph,Sculpin spp.,64,2.54,0.404833717,1.806179974,7/16/2024,020502050302 Asaph Run
Baker.LeftAsaph,Sculpin spp.,29,0.22,-0.657577319,1.462397998,7/16/2024,020502050302 Asaph Run
Baker.LeftAsaph,Longnose Dace,100,10,1,2,7/16/2024,020502050302 Asaph Run
Baker.LeftAsaph,Blacknose Dace,59,1.59,0.201397124,1.770852012,7/16/2024,020502050302 Asaph Run
Baker.LeftAsaph,Longnose Dace,131,27.7,1.442479769,2.117271296,7/16/2024,020502050302 Asaph Run
Baker.LeftAsaph,Blacknose Dace,63,1.94,0.28780173,1.799340549,7/16/2024,020502050302 Asaph Run
Baker.LeftAsaph,Sculpin spp.,60,2.28,0.357934847,1.77815125,7/16/2024,020502050302 Asaph Run
Baker.LeftAsaph,Sculpin spp.,83,6.22,0.793790385,1.919078092,7/16/2024,020502050302 Asaph Run
Baker.LeftAsaph,Sculpin spp.,70,4,0.602059991,1.84509804,7/16/2024,020502050302 Asaph Run
Baker.LeftAsaph,Sculpin spp.,67,3.36,0.526339277,1.826074803,7/16/2024,020502050302 Asaph Run
Baker.LeftAsaph,Sculpin spp.,59,1.95,0.290034611,1.770852012,7/16/2024,020502050302 Asaph Run
Baker.LeftAsaph,Sculpin spp.,57,2,0.301029996,1.755874856,7/16/2024,020502050302 Asaph Run
Baker.LeftAsaph,Sculpin spp.,81,5.39,0.731588765,1.908485019,7/16/2024,020502050302 Asaph Run
Baker.LeftAsaph,Sculpin spp.,72,4.25,0.62838893,1.857332496,7/16/2024,020502050302 Asaph Run
Baker.LeftAsaph,Sculpin spp.,73,4.5,0.653212514,1.86332286,7/16/2024,020502050302 Asaph Run
Baker.LeftAsaph,Sculpin spp.,86,6.31,0.800029359,1.934498451,7/16/2024,020502050302 Asaph Run
Baker.LeftAsaph,Blacknose Dace,59,1.63,0.212187604,1.770852012,7/16/2024,020502050302 Asaph Run
Baker.LeftAsaph,Sculpin spp.,68,3.17,0.501059262,1.832508913,7/16/2024,020502050302 Asaph Run
Baker.LeftAsaph,Sculpin spp.,63,2.31,0.36361198,1.799340549,7/16/2024,020502050302 Asaph Run
Baker.LeftAsaph,Blacknose Dace,40,0.53,-0.27572413,1.602059991,7/16/2024,020502050302 Asaph Run
Baker.LeftAsaph,Sculpin spp.,86,7.39,0.868644438,1.934498451,7/16/2024,020502050302 Asaph Run
Baker.LeftAsaph,Sculpin spp.,60,2.09,0.320146286,1.77815125,7/16/2024,020502050302 Asaph Run
Baker.LeftAsaph,Sculpin spp.,82,6.08,0.783903579,1.913813852,7/16/2024,020502050302 Asaph Run
Baker.LeftAsaph,Sculpin spp.,81,5.1,0.707570176,1.908485019,7/16/2024,020502050302 Asaph Run
Billing.Kettle,Sculpin spp.,79,5.42,0.733999287,1.897627091,7/7/2025,020502030102 Upper Kettle Creek
Billing.Kettle,Sculpin spp.,84,5.82,0.764922985,1.924279286,7/7/2025,020502030102 Upper Kettle Creek
Billing.Kettle,Sculpin spp.,48,1.1,0.041392685,1.681241237,7/7/2025,020502030102 Upper Kettle Creek
Billing.Kettle,Sculpin spp.,48,0.61,-0.214670165,1.681241237,7/7/2025,020502030102 Upper Kettle Creek
Billing.Kettle,Sculpin spp.,49,1.19,0.075546961,1.69019608,7/7/2025,020502030102 Upper Kettle Creek
Billing.Kettle,Sculpin spp.,49,1.2,0.079181246,1.69019608,7/7/2025,020502030102 Upper Kettle Creek
Billing.Kettle,Sculpin spp.,48,1.09,0.037426498,1.681241237,7/7/2025,020502030102 Upper Kettle Creek
Billing.Kettle,Sculpin spp.,56,1.9,0.278753601,1.748188027,7/12/2022,020502030102 Upper Kettle Creek
Billing.Kettle,Sculpin spp.,84,7.2,0.857332496,1.924279286,7/12/2022,020502030102 Upper Kettle Creek
Billing.Kettle,Sculpin spp.,79,5.24,0.719331287,1.897627091,7/7/2025,020502030102 Upper Kettle Creek
Billing.Kettle,Sculpin spp.,52,1.4,0.146128036,1.716003344,7/12/2022,020502030102 Upper Kettle Creek
Billing.Kettle,Sculpin spp.,83,6,0.77815125,1.919078092,7/12/2022,020502030102 Upper Kettle Creek
Billing.Kettle,Sculpin spp.,85,6.7,0.826074803,1.929418926,7/12/2022,020502030102 Upper Kettle Creek
Billing.Kettle,Sculpin spp.,88,7.7,0.886490725,1.944482672,7/12/2022,020502030102 Upper Kettle Creek
Billing.Kettle,Sculpin spp.,76,4.84,0.684845362,1.880813592,7/7/2025,020502030102 Upper Kettle Creek
Billing.Kettle,Sculpin spp.,86,7.4,0.86923172,1.934498451,7/7/2025,020502030102 Upper Kettle Creek
Billing.Kettle,Sculpin spp.,69,3.92,0.593286067,1.838849091,7/7/2025,020502030102 Upper Kettle Creek
Billing.Kettle,Sculpin spp.,65,3.04,0.482873584,1.812913357,7/7/2025,020502030102 Upper Kettle Creek
Billing.Kettle,Sculpin spp.,114,19.1,1.281033367,2.056904851,7/12/2022,020502030102 Upper Kettle Creek
Billing.Kettle,Sculpin spp.,89,6.9,0.838849091,1.949390007,7/12/2022,020502030102 Upper Kettle Creek
Billing.Kettle,Sculpin spp.,88,7.47,0.873320602,1.944482672,7/7/2025,020502030102 Upper Kettle Creek
Billing.Kettle,Sculpin spp.,85,7.57,0.87909588,1.929418926,7/7/2025,020502030102 Upper Kettle Creek
Billing.Kettle,Sculpin spp.,95,9.7,0.986771734,1.977723605,7/12/2022,020502030102 Upper Kettle Creek
Billing.Kettle,Sculpin spp.,64,2.81,0.44870632,1.806179974,7/7/2025,020502030102 Upper Kettle Creek
Billing.Kettle,Sculpin spp.,45,0.88,-0.055517328,1.653212514,7/7/2025,020502030102 Upper Kettle Creek
Billing.Kettle,Sculpin spp.,52,1.64,0.214843848,1.716003344,7/7/2025,020502030102 Upper Kettle Creek
Billing.Kettle,Sculpin spp.,46,1.05,0.021189299,1.662757832,7/7/2025,020502030102 Upper Kettle Creek
Billing.Kettle,Sculpin spp.,82,6.22,0.793790385,1.913813852,7/7/2025,020502030102 Upper Kettle Creek
Billing.Kettle,Sculpin spp.,39,0.55,-0.259637311,1.591064607,7/7/2025,020502030102 Upper Kettle Creek
Billing.Kettle,Sculpin spp.,90,7.16,0.854913022,1.954242509,7/7/2025,020502030102 Upper Kettle Creek
Billing.Kettle,Sculpin spp.,84,6.64,0.822168079,1.924279286,7/7/2025,020502030102 Upper Kettle Creek
Billing.Kettle,Sculpin spp.,72,4.33,0.636487896,1.857332496,7/7/2025,020502030102 Upper Kettle Creek
Billing.Kettle,Sculpin spp.,12,0.01,-2,1.079181246,7/7/2025,020502030102 Upper Kettle Creek
Billing.Kettle,Sculpin spp.,59,3.05,0.484299839,1.770852012,7/7/2025,020502030102 Upper Kettle Creek
Billing.Kettle,Sculpin spp.,53,1.54,0.187520721,1.72427587,7/7/2025,020502030102 Upper Kettle Creek
Billing.Kettle,Sculpin spp.,69,3.44,0.536558443,1.838849091,7/7/2025,020502030102 Upper Kettle Creek
Billing.Kettle,Sculpin spp.,68,3.4,0.531478917,1.832508913,7/12/2022,020502030102 Upper Kettle Creek
Billing.Kettle,Sculpin spp.,87,7.7,0.886490725,1.939519253,7/12/2022,020502030102 Upper Kettle Creek
Billing.Kettle,Sculpin spp.,82,6.1,0.785329835,1.913813852,7/12/2022,020502030102 Upper Kettle Creek
Billing.Kettle,Sculpin spp.,67,3.7,0.568201724,1.826074803,7/12/2022,020502030102 Upper Kettle Creek
Billing.Kettle,Sculpin spp.,49,1.2,0.079181246,1.69019608,7/12/2022,020502030102 Upper Kettle Creek
Billing.Kettle,Sculpin spp.,95,8.4,0.924279286,1.977723605,7/12/2022,020502030102 Upper Kettle Creek
Billing.Kettle,Sculpin spp.,100,10.4,1.017033339,2,7/12/2022,020502030102 Upper Kettle Creek
Billing.Kettle,Sculpin spp.,75,5.1,0.707570176,1.875061263,7/12/2022,020502030102 Upper Kettle Creek
Billing.Kettle,Sculpin spp.,52,1.4,0.146128036,1.716003344,7/12/2022,020502030102 Upper Kettle Creek
Billing.Kettle,Sculpin spp.,99,13.8,1.139879086,1.995635195,7/12/2022,020502030102 Upper Kettle Creek
Billing.Kettle,Sculpin spp.,90,8.8,0.944482672,1.954242509,7/12/2022,020502030102 Upper Kettle Creek
Billing.Kettle,Sculpin spp.,45,0.9,-0.045757491,1.653212514,7/12/2022,020502030102 Upper Kettle Creek
Billing.Kettle,Sculpin spp.,46,1.1,0.041392685,1.662757832,7/12/2022,020502030102 Upper Kettle Creek
Billing.Kettle,Sculpin spp.,46,1,0,1.662757832,7/12/2022,020502030102 Upper Kettle Creek
Billing.Kettle,Sculpin spp.,50,1.1,0.041392685,1.698970004,7/12/2022,020502030102 Upper Kettle Creek
Billing.Kettle,Sculpin spp.,87,8.4,0.924279286,1.939519253,7/12/2022,020502030102 Upper Kettle Creek
Billing.Kettle,Sculpin spp.,65,2.7,0.431363764,1.812913357,7/12/2022,020502030102 Upper Kettle Creek
Billing.Kettle,Sculpin spp.,85,6.5,0.812913357,1.929418926,7/12/2022,020502030102 Upper Kettle Creek
Billing.Kettle,Sculpin spp.,43,0.8,-0.096910013,1.633468456,7/7/2025,020502030102 Upper Kettle Creek
Billing.Kettle,Sculpin spp.,77,4.73,0.674861141,1.886490725,7/7/2025,020502030102 Upper Kettle Creek
Billing.Kettle,Sculpin spp.,88,8,0.903089987,1.944482672,7/12/2022,020502030102 Upper Kettle Creek
Billing.Kettle,Sculpin spp.,69,3.7,0.568201724,1.838849091,7/12/2022,020502030102 Upper Kettle Creek
Billing.Kettle,Sculpin spp.,51,1.5,0.176091259,1.707570176,7/12/2022,020502030102 Upper Kettle Creek
Billing.Kettle,Sculpin spp.,40,0.63,-0.200659451,1.602059991,7/7/2025,020502030102 Upper Kettle Creek
Bonnel.Pine,Longnose Dace,81,4.6,0.662757832,1.908485019,7/14/2022,020502050604 Mill Run-Pine Creek
Bonnel.Pine,Fantail Darter,75,3.8,0.579783597,1.875061263,7/14/2022,020502050604 Mill Run-Pine Creek
Bonnel.Pine,Blacknose Dace,65,3.3,0.51851394,1.812913357,7/14/2022,020502050604 Mill Run-Pine Creek
Bonnel.Pine,Fantail Darter,60,1.96,0.292256071,1.77815125,7/9/2025,020502050604 Mill Run-Pine Creek
Bonnel.Pine,Blacknose Dace,55,1.2,0.079181246,1.740362689,7/14/2022,020502050604 Mill Run-Pine Creek
Bonnel.Pine,Longnose Dace,67,2.9,0.462397998,1.826074803,7/14/2022,020502050604 Mill Run-Pine Creek
Bonnel.Pine,Longnose Dace,69,3.1,0.491361694,1.838849091,7/14/2022,020502050604 Mill Run-Pine Creek
Brunnerdale.Ogdonia,Sculpin spp.,75,4.3,0.633468456,1.875061263,6/26/2023,020502060503 Ogdonia Creek-Loyalsock Creek
Brunnerdale.Ogdonia,Sculpin spp.,64,3.2,0.505149978,1.806179974,6/26/2023,020502060503 Ogdonia Creek-Loyalsock Creek
Brunnerdale.Ogdonia,Sculpin spp.,75,4.7,0.672097858,1.875061263,6/26/2023,020502060503 Ogdonia Creek-Loyalsock Creek
Brunnerdale.Ogdonia,Sculpin spp.,74,4.5,0.653212514,1.86923172,6/26/2023,020502060503 Ogdonia Creek-Loyalsock Creek
Brunnerdale.Ogdonia,Sculpin spp.,54,1.5,0.176091259,1.73239376,6/26/2023,020502060503 Ogdonia Creek-Loyalsock Creek
Brunnerdale.Ogdonia,Sculpin spp.,70,3.6,0.556302501,1.84509804,6/26/2023,020502060503 Ogdonia Creek-Loyalsock Creek
Brunnerdale.Ogdonia,Sculpin spp.,60,2.2,0.342422681,1.77815125,6/26/2023,020502060503 Ogdonia Creek-Loyalsock Creek
Brunnerdale.Ogdonia,Sculpin spp.,70,3.7,0.568201724,1.84509804,6/26/2023,020502060503 Ogdonia Creek-Loyalsock Creek
Brunnerdale.Ogdonia,Sculpin spp.,57,2,0.301029996,1.755874856,6/26/2023,020502060503 Ogdonia Creek-Loyalsock Creek
Brunnerdale.Ogdonia,Sculpin spp.,65,2.7,0.431363764,1.812913357,6/26/2023,020502060503 Ogdonia Creek-Loyalsock Creek
Brunnerdale.Ogdonia,Sculpin spp.,72,3.9,0.591064607,1.857332496,6/26/2023,020502060503 Ogdonia Creek-Loyalsock Creek
Brunnerdale.Ogdonia,Sculpin spp.,79,4.3,0.633468456,1.897627091,6/26/2023,020502060503 Ogdonia Creek-Loyalsock Creek
Brunnerdale.Ogdonia,Sculpin spp.,42,1,0,1.62324929,6/26/2023,020502060503 Ogdonia Creek-Loyalsock Creek
Brunnerdale.Ogdonia,Sculpin spp.,66,3,0.477121255,1.819543936,6/26/2023,020502060503 Ogdonia Creek-Loyalsock Creek
Brunnerdale.Ogdonia,Sculpin spp.,81,5.4,0.73239376,1.908485019,6/26/2023,020502060503 Ogdonia Creek-Loyalsock Creek
Brunnerdale.Ogdonia,Sculpin spp.,86,6.3,0.799340549,1.934498451,6/26/2023,020502060503 Ogdonia Creek-Loyalsock Creek
Brunnerdale.Ogdonia,Sculpin spp.,59,2,0.301029996,1.770852012,6/26/2023,020502060503 Ogdonia Creek-Loyalsock Creek
Brunnerdale.Ogdonia,Sculpin spp.,67,3.3,0.51851394,1.826074803,6/26/2023,020502060503 Ogdonia Creek-Loyalsock Creek
Brunnerdale.Ogdonia,Sculpin spp.,52,1.4,0.146128036,1.716003344,6/26/2023,020502060503 Ogdonia Creek-Loyalsock Creek
Brunnerdale.Ogdonia,Sculpin spp.,70,4.4,0.643452676,1.84509804,6/26/2023,020502060503 Ogdonia Creek-Loyalsock Creek
Brunnerdale.Ogdonia,Sculpin spp.,61,2.2,0.342422681,1.785329835,6/26/2023,020502060503 Ogdonia Creek-Loyalsock Creek
Brunnerdale.Ogdonia,Sculpin spp.,48,0.9,-0.045757491,1.681241237,6/26/2023,020502060503 Ogdonia Creek-Loyalsock Creek
Brunnerdale.Ogdonia,Sculpin spp.,61,2.2,0.342422681,1.785329835,6/26/2023,020502060503 Ogdonia Creek-Loyalsock Creek
Brunnerdale.Ogdonia,Sculpin spp.,65,2.8,0.447158031,1.812913357,6/26/2023,020502060503 Ogdonia Creek-Loyalsock Creek
Brunnerdale.Ogdonia,Sculpin spp.,73,4,0.602059991,1.86332286,6/29/2023,020502060503 Ogdonia Creek-Loyalsock Creek
Brunnerdale.Ogdonia,Sculpin spp.,80,5.3,0.72427587,1.903089987,6/26/2023,020502060503 Ogdonia Creek-Loyalsock Creek
Brunnerdale.Ogdonia,Sculpin spp.,65,2.7,0.431363764,1.812913357,6/26/2023,020502060503 Ogdonia Creek-Loyalsock Creek
Brunnerdale.Ogdonia,Sculpin spp.,69,3.3,0.51851394,1.838849091,6/26/2023,020502060503 Ogdonia Creek-Loyalsock Creek
Brunnerdale.Ogdonia,Sculpin spp.,64,2.8,0.447158031,1.806179974,6/26/2023,020502060503 Ogdonia Creek-Loyalsock Creek
Brunnerdale.Ogdonia,Sculpin spp.,52,1.3,0.113943352,1.716003344,6/26/2023,020502060503 Ogdonia Creek-Loyalsock Creek
Buck.Cedar,Sculpin spp.,65,2.8,0.447158031,1.812913357,7/11/2023,020502050602 Cedar Run
Buck.Cedar,Sculpin spp.,103,12.2,1.086359831,2.012837225,7/11/2023,020502050602 Cedar Run
Buck.Cedar,Sculpin spp.,85,7.1,0.851258349,1.929418926,7/11/2023,020502050602 Cedar Run
Buck.Cedar,Sculpin spp.,60,2.4,0.380211242,1.77815125,7/11/2023,020502050602 Cedar Run
Buck.Cedar,Sculpin spp.,94,9,0.954242509,1.973127854,7/11/2023,020502050602 Cedar Run
Buck.Cedar,Sculpin spp.,76,4.7,0.672097858,1.880813592,7/11/2023,020502050602 Cedar Run
Buck.Cedar,Sculpin spp.,80,6,0.77815125,1.903089987,7/11/2023,020502050602 Cedar Run
Buck.Cedar,Blacknose Dace,49,1,0,1.69019608,7/11/2023,020502050602 Cedar Run
Buck.Cedar,Blacknose Dace,60,1.9,0.278753601,1.77815125,7/11/2023,020502050602 Cedar Run
Buck.Cedar,Sculpin spp.,62,2.5,0.397940009,1.792391689,7/11/2023,020502050602 Cedar Run
Buck.Cedar,Sculpin spp.,61,2.5,0.397940009,1.785329835,7/11/2023,020502050602 Cedar Run
Buck.Cedar,Sculpin spp.,55,1.5,0.176091259,1.740362689,7/11/2023,020502050602 Cedar Run
Buck.Cedar,Blacknose Dace,77,4.4,0.643452676,1.886490725,7/11/2023,020502050602 Cedar Run
Buck.Cedar,Sculpin spp.,61,2.9,0.462397998,1.785329835,7/11/2023,020502050602 Cedar Run
Buck.Cedar,Blacknose Dace,44,0.7,-0.15490196,1.643452676,7/11/2023,020502050602 Cedar Run
Buck.Cedar,Sculpin spp.,80,6.1,0.785329835,1.903089987,7/11/2023,020502050602 Cedar Run
Buck.Cedar,Blacknose Dace,58,1.8,0.255272505,1.763427994,7/11/2023,020502050602 Cedar Run
Buck.Cedar,Blacknose Dace,45,0.8,-0.096910013,1.653212514,7/11/2023,020502050602 Cedar Run
Buck.Cedar,Blacknose Dace,48,0.9,-0.045757491,1.681241237,7/11/2023,020502050602 Cedar Run
Buck.Cedar,Sculpin spp.,69,3.5,0.544068044,1.838849091,7/11/2023,020502050602 Cedar Run
Buck.Cedar,Sculpin spp.,77,5,0.698970004,1.886490725,7/11/2023,020502050602 Cedar Run
Buck.Cedar,Sculpin spp.,62,3.3,0.51851394,1.792391689,7/11/2023,020502050602 Cedar Run
