"","species","count","mean_length","min_length","max_length","mean_weight","min_weight","max_weight","a","a_2.5","a_97.5","b","b_2.5","b_97.5","Adj R2","p-value_a","p-value_b"
"ab_row_temp","Allegheny Pearl Dace","29","83.3448275862069","58","100","5.86551724137931","1.9","9.1","7.58538718762417e-06","1.868706906431e-06","3.07903281077199e-05","3.05360653679848","2.73639848726359","3.37081458633337","0.93287628784486","4.07828086789633e-16","1.39746424180179e-17"
"ab_row_temp","Banded Killifish","140","63.1214285714286","35","96","2.85442857142857","0.49","9.3","7.85954167932724e-06","4.16457620312719e-06","1.4832816689174e-05","3.05668115466741","2.90288561297695","3.21047669635788","0.917379877960661","6.53807675625563e-73","8.16732641272695e-77"
"ab_row_temp","Blacknose Dace","1700","56.8823529411765","23","92","1.90317058823529","0.12","7.5","7.58908825312949e-06","6.61200508788767e-06","8.71055901322479e-06","3.04552047054787","3.01127953801432","3.07976140308143","0.947123022322753","0","0"
"ab_row_temp","Bluegill","121","83.7851239669422","42","159","15.1633884297521","1.01","86.8","5.57137396061626e-06","4.42062135972847e-06","7.02168434777221e-06","3.24042600985266","3.18745783426802","3.29339418543729","0.99188805272439","1.89627296842416e-118","1.7445508657612e-126"
"ab_row_temp","Bluntnose Minnow","116","60.0172413793103","34","90","2.55241379310345","0.3","7.6","8.91465551602807e-06","3.85783190436878e-06","2.05999340923727e-05","3.02724800572026","2.8216541061306","3.23284190530992","0.880807614987788","3.84360627842026e-52","1.0698030157896e-54"
"ab_row_temp","Central Stoneroller","309","79.546925566343","48","161","5.84941747572816","0.8","46.62","5.65526630709109e-06","3.99680476038816e-06","8.00190124899011e-06","3.10963770786046","3.02990755243515","3.18936786328578","0.950297034819942","4.62804392192128e-188","2.22262360887749e-202"
"ab_row_temp","Common Shiner","177","79.683615819209","32","155","6.64728813559322","0.3","45.9","4.51118775381247e-06","3.39900256688196e-06","5.98729025639313e-06","3.16723645293847","3.10203510604571","3.23243779983122","0.981209001928302","6.05953137385765e-145","3.45089742916102e-153"
"ab_row_temp","Creek Chub","1039","76.2127045235804","30","228","7.65826756496631","0.1","146.8","8.48715817080643e-06","7.30412232173321e-06","9.86180825613471e-06","3.05491052337632","3.01985351295276","3.08996753379988","0.965715057599987","0","0"
"ab_row_temp","Cutlip Minnow","234","70.8376068376068","35","187","5.4082905982906","0.44","31.7","1.07233111759657e-05","6.36353846990074e-06","1.80700412389248e-05","3.01142651307242","2.88784094555532","3.13501208058952","0.9081548652748","6.25075367172337e-113","1.72663574724248e-122"
"ab_row_temp","Fallfish","79","96.5189873417721","44","236","12.3316455696203","0.7","114.3","8.98258051680455e-06","6.85170134770359e-06","1.17761631230351e-05","3.0020974020896","2.94235915132967","3.06183565284953","0.992270171442685","4.70389282099526e-78","2.7396568197162e-83"
